Function,X,Y
void,0.1427990118858712,0.03318410235623583
onDestroy,0.2074120958486026,0.07299950544852778
cleanup,0.1371428490836171,-0.6023882690713818
dispatchTimeChanged,0.1470940091316213,-0.8517709752927416
setup,0.11300638360141647,-0.9767907774212552
applyFrozenState,0.1892335764423476,-0.0535486437164153
onRestoreInstanceState,-0.6271694420215599,0.29709287507404897
setMenu,-0.7157690908962668,0.3651984037422711
setStyle,-0.9284591014836651,0.49228675005363576
invalidateCache,0.6749447130588351,-0.3845580331205954
mutate,0.7686917712937115,-0.4424230532073917
animate,0.10417030522793502,0.10917735830364945
clearMutated,0.22925348929477934,-0.004343266778473451
setCurrentIndex,0.0914856762096821,-0.03246661053755764
onAnimationsEnded,0.12500094932718103,-0.02253201630820888
findExpandedIndex,0.20204405408937487,0.03970266842266217
applySupportBackgroundTint,-0.49772558892914986,0.06045649178939261
loadFromAttributes,-0.4341025636861787,0.036940451818676376
onSetBackgroundDrawable,-0.4745653789837248,-0.15566326330204175
onSetBackgroundResource,-0.5054685526563193,-0.20126174342827394
setInternalBackgroundTint,-0.6098937109601967,-0.26226424445868296
setSupportBackgroundTintList,-0.7326695961262473,-0.32286636892205334
setSupportBackgroundTintMode,-0.9850229207209819,-0.4570994126652289
applyButtonTint,-0.4734184089948629,0.08790229189473306
onSetButtonDrawable,-0.975766211470353,-0.11406013949691643
setSupportButtonTintList,-0.9835025498437178,-0.0953677728661289
setSupportButtonTintMode,-1.0,-0.16083859844521653
applySupportImageTint,0.16057543467174631,-0.04598291180302249
setInternalImageTint,-0.5220726591817703,0.4987340128146384
setSupportImageTintList,-0.6801404963537174,0.6973088474971765
setSupportImageTintMode,-0.646020718191124,0.6536799057831997
applyCompoundDrawablesTints,-0.5587218533728993,0.027795601418675084
autoSizeText,-0.4918721995691926,0.020763818516283727
v0_0,0.07269879248407089,0.25771460869959734
v0_1,0.08316186315369928,0.17346164703607367
onAsyncTypefaceReceived,-0.1561804578970769,0.30499507457033026
onLayout,-0.15987322557252578,0.22486711048571287
onSetTextAppearance,-0.19249096289454962,0.14363152751441013
setAllCaps,-0.2623433937841,0.07211528937295912
setAutoSizeTextTypeUniformWithConfiguration,-0.2530053734834588,0.032497149304100484
setAutoSizeTextTypeUniformWithPresetSizes,-0.1880330622280717,0.026685434865592297
setAutoSizeTextTypeWithDefaults,-0.1353617077899617,0.011614069661947349
setTextSize,-0.7280838688202252,-0.8559258027581202
setTextSizeInternal,0.45944612058769285,0.8781696961389595
setListSelectionHidden,0.09268711855767059,0.0651541739506547
onLongPress,0.17111865721061803,-0.016543315729493538
drawDividersHorizontal,-0.15575755427588106,-0.08411022654400326
drawDividersVertical,-0.23764365571047633,-0.04566909578913578
drawHorizontalDivider,-0.2524621037306874,-0.05686285488096733
drawVerticalDivider,-0.2099250393976424,-0.1396031332261883
layoutHorizontal,-0.12693426955741757,-0.21543639704246415
layoutVertical,-0.0398072312356407,-0.20025583060191862
measureChildBeforeLayout,-0.01868710690152583,-0.12622614394113527
measureHorizontal,0.01695008188536061,-0.059129620980294
measureVertical,0.0728304562688329,-0.0068883307839364034
doAfterTextChanged,0.4475176487867002,-0.12611388914334107
doBeforeTextChanged,0.5943074434523177,-0.18405334222604816
ensureImeVisible,0.8909414039378981,-0.27413552727854823
setThumbPosition,0.11597283793495175,-0.05527969053676116
addChildrenForExpandedActionView,0.1729604700304619,0.08426300676040432
ensureCollapseButtonView,0.18743984312792472,0.1163615659957039
v0_2,0.319409116181797,0.020333057357529962
v0_3,0.23422887000016487,0.02766250826159459
removeChildrenForExpandedActionView,0.2000222502412364,0.003451018785760171
v0,0.4835065751441738,-0.10767653103980931
v1_1,0.5085583859953822,-0.03629511495941949
hide,0.47130288530116005,-0.000552565174023822
show,0.793326501989076,-0.03630856182438354
divideByAmount,0.16753596304257043,-0.8184491869491402
invert,0.1473532876984643,-0.9809776018360893
updateFromSystem,0.11559123778948693,-0.9282889599020581
addSingleError,0.21030462429386,0.2807359321042503
displayReadableRows,0.1852932886207712,0.2035056872333163
displaySystemInformations,0.15970088542642233,0.12025920929228262
minimizeGoal,0.07679234362647086,0.09359939858677734
clearStrengths,0.13198033316656083,0.1197289877808818
setRelativePositioning,0.09366027488545453,0.017699723540533827
addWidgetsToSet,0.16857495730810515,0.6868738840145499
updateUnresolvedWidgets,0.20825181236019655,0.9625372300745912
grow,0.1456639235477866,-0.06680225834605813
v24_1,0.29769569399253076,-0.1741913522104207
v24_2;,0.26263452391582887,-0.09910710204587234
v24_3,0.2098625890703344,-0.030991822095013416
applyToInternal,0.13067076115425605,0.08375457492586129
invalidateAnchor,0.4508518088004711,0.14617318466890722
resetChangedAfterNestedScroll,0.37681822622910227,0.14935747490005394
resetNestedScroll,0.31017907574896003,0.10208360429958079
resetTouchBehaviorTracking,0.2348234610315698,0.060914360288061076
setChangedAfterNestedScroll,0.598055759963041,0.5872448623085057
setLastChildRect,0.5805662075804706,0.544735690092551
setNestedScrollAccepted,0.6794974850891901,0.629450107900179
ensureJobId,0.060477921725146856,0.027696555779171617
ensureProcessorRunningLocked,0.2143678362540423,0.09918666269030929
processorFinished,0.06050413296216569,0.0603632045107337
